id,Title,Resource Type,Sort Order,Show Order Button,Show Download Button,Download File,Image Featured,WPML Translation ID,WPML Language Code
,Ask the Doctor About... Phototherapy,Patient Resource,,0,1,ESC_Ask-the-Doctor_Phototherapy_2020.pdf,Ask-Phototherapy-Cover-2020.png,,en
,Ask the Doctor About... Topical Calcineurin Inhibitors,Patient Resource,,0,1,ESC_Ask-the-Doctor_Topical-Calcineurin-Inhibitor_2020.pdf,Ask-TCI-Cover-2020.png,,en
,Ask the Doctor About... Topical Corticosteroids,Patient Resource,,0,1,ESC_Ask-the-Doctor_Topical-Corticosteroids_2020.pdf,Ask-TCS-Cover-2020.png,,en
,Ask the Doctor About... Topical PDE4 Inhibitors,Patient Resource,,0,1,ESC_Ask-the-Doctor_Topical-PDE4-Inhibitors_2018.pdf,Ask-PDE4-Cover-2020.png,,en
,Caring for the Eczema Caregiver,Patient Resource,,0,1,ESC_Caring-for-the-Eczema-Caregiver_2020.pdf,Caring-for-Eczema-Caregiver-Cover-2020.png,,en
,When the Road Gets Bumpy,Patient Resource,,0,1,ESC_When-the-Roads-Gets-Bumpy_2020.pdf,When-the-Road-Gets-Bumpy-Cover-2020.png,,en
,Quality of Life Report - Moderate to Severe Atopic Dermatitis,Patient Resource,,0,1,ESC_Quality-of-Life-Report_Nov-2017-1.pdf,quality-of-life-report@2x.jpg,,en
,Patient Insights Report - Mild to Moderate Atopic Dermatitis,Patient Resource,,0,1,ESC_Insights-Report_Nov-2017-1.pdf,patient-insights-report@2x.jpg,,en
,Un médecin vous parle… des corticostéroides topiques,Patient Resource,,0,1,SCE_Un-medecin-vous-parle-des-corticosteroides-topiques-_2020.pdf,Ask-TCS-FR-Cover-2020.png,,fr
,Un médecin vous parle… des inhibiteurs topiques de la calcineurine,Patient Resource,,0,1,SCE_Un-medecin-vous-parle-des-inhibiteurs-topiques-de-la-calcineurine_2020.pdf,Ask-TCI-FR-Cover-2020.png,,fr
,Un médecin vous parle… des inhibiteurs topiques de la PDE4,Patient Resource,,0,1,SCE_Un-medecin-vous-parle-inhibiteurs-topiques-de-la-PDE4_2018.pdf,Ask-PDE4-FR-Cover-2020.png,,fr
,Un médecin vous parle… de photothérapies,Patient Resource,,0,1,SCE_Un-medecin-vous-de-phototherapies_2020.pdf,Ask-Phototherapy-FR-Cover-2020.png,,fr
,Se soucier des aidants de personnes atteintes d'eczéma,Patient Resource,,0,1,SCE_se-soucier-des-aidants-de-personnes-atteintes-d-eczema_2020.pdf,Caring-for-Eczema-Caregiver-FR-Cover-2020.png,,fr
,Quand le Chemin est Rocailleux,Patient Resource,,0,1,SCE_Quand-le-chemin-est-rocailleux_2020.pdf,When-the-Road-Gets-Bumpy-FR-Cover-2020.png,,fr
,Rapport sur la Qualité de vie - Dermatite Atopique Modérée ou Grave,Patient Resource,,0,1,SCE_Rapport-sur-la-Qualite-de-vie-Associee-a-la-Dermitite-Atopique_2017.pdf,Qol-Survey-Report-2016-2017-French-Cover-scaled.jpg,,fr
,Rapport sur le vécu des patients - dermatite atopique légère ou modérée,Patient Resource,,0,1,SCE_Dermatite-atopique_-rapport-sur-le-vecu-des-patients_2017.pdf,Insight-FR.png,,fr
,I Have Eczema Card,Kids Resource,,0,1,ESC_I-Have-Eczema-Card_Nov-2016.pdf,i-have-eczema-card@2x.jpg,250,en
,Cartes « J’ai de l’eczéma »,Kids Resource,,0,1,SCE_Cartes-Jai-de-lecze%CC%81ma_Nov-2016.pdf,fr-i-have-eczema-card.jpg,250,fr
,Rub It In! Skin Care Chart,Kids Resource,,0,1,rub-it-in-eng.pdf,rub-it-in-eng-scaled.jpg,268,en
,Sometimes I Am Itchy - Children's Book,Kids Resource,,0,1,ESC_Sometimes_I_am_Itchy_Chidlrens_Book_Nov_2016.pdf,sometimes-iam-itchy@2x.jpg,269,en
,Eczema School and Daycare Guide,Kids Resource,,0,1,ESC_Eczema_School_and_Daycare_Guide_Nov_2016.pdf,eczema-school-and-daycare-guide@2x.jpg,270,en
,Guide sur l’eczéma à l’intention des écoles et des garderies,Kids Resource,,0,1,SCE_Guide-sur-lecze%CC%81ma-a%CC%80-lintention-des-e%CC%81coles-et-des-garderies_Nov-2016.pdf,fr-eczema-school-and-daycare-guide.jpg,270,fr
,Tableau sur le soin de la peau « Aux petits soins! »,Kids Resource,,0,1,rub-it-in-fr.pdf,rub-it-in-fr.jpg,268,fr
,"« Des fois, ça me démange » (Livre pour enfants)",Kids Resource,,0,1,SCE_Livre-Des-fois-c%CC%A7a-me-de%CC%81mange_Nov-2016.pdf,fr-sometimes-i-am-itchy.jpg,269,fr
,I Have Eczema Coloring Book,Kids Resource,,0,1,ESC_I-have-Eczema-Colouring-Book_2016.pdf,ESC-Colouring-Book-and-Skin-Care-Guide-2016-Cover-scaled.jpg,,en
,Eczema Word Search,Kids Resource,,0,1,ESC_Word-Search_2016.pdf,ESC-Word-Search-Cover.png,,en
,Livre à colorier « J’ai de l’eczéma »,Kids Resource,,0,1,SCE_Livre-de-Coloriage_2016.pdf,ESC-Guide-de-soins-de-la-peau-a-colorier-2016-Cover-1-scaled.jpg,,fr
,Mots cachés sur l’eczéma,Kids Resource,,0,1,SCE_Mots-Caches_2016.pdf,SCE-Word-Search-FR-Cover.png,,fr
